Series Name,Series Code,Country Name,Country Code,GDP2016,GDP2017,GDP2018,GDP2019,GDP2020,Population2016,Population2017,Population2018,Population2019,Population2020
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Comoros,COM,478957,486057,491599,490422,503439,795597,813890,832322,850891,869595
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Dem. Rep. Congo,COD,140245,140808,144274,145875,142456,78789130,81398765,84068092,86790568,89561404
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Congo,COG,949723,885138,820778,801868,719725,4980996,5110701,5244363,5380504,5518092
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Costa Rica,CRI,6730043,6938174,7010746,7094453,6710478,4899336,4949955,4999443,5047561,5094114
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Côte d'Ivoire,CIV,1218615,1275389,1328912,1376190,1366038,23822726,24437475,25069226,25716554,26378275
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Croatia,HRV,84215,88164,91453,94590,87062,4174349,4124531,4087843,4065253,4047200
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Cuba,CUB,4833,4918,5029,5021,0,11335108,11339255,11338146,11333484,11326616
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Curacao,CUW,24858,24347,23945,23410,0,159664,160175,159336,157441,155014
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Cyprus,CYP,22270,23201,24121,24528,22960,1170189,1179685,1189262,1198574,1207361
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Czechia,CZE,448854,470801,484239,493495,464671,10566332,10594438,10629928,10671870,10698896
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Denmark,DNK,367048,374985,381248,390710,378924,5728010,5764980,5793636,5814422,5831404
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Djibouti,DJI,480511,498435,531989,564710,559236,929117,944100,958923,973557,988002
