Series Name,Series Code,Country Name,Country Code,GDP2016,GDP2017,GDP2018,GDP2019,GDP2020,,Population2016,Population2017,Population2018,Population2019,Population2020
GDP per capita (current US$),NY.GDP.PCAP.CD,Tonga,TON,4158,4513,4741,4903,0,,101143,102002,103199,104497,105697
GDP per capita (current US$),NY.GDP.PCAP.CD,Trinidad and Tobago,TTO,16251,16174,17038,16637,15384,,1377563,1384060,1389841,1394969,1399491
GDP per capita (current US$),NY.GDP.PCAP.CD,Tunisia,TUN,3698,3481,3439,3352,3320,,11303942,11433438,11565203,11694721,11818618
GDP per capita (current US$),NY.GDP.PCAP.CD,Turkey,TUR,10895,10590,9453,9127,8538,,79827868,81116451,82340090,83429607,84339067
GDP per capita (current US$),NY.GDP.PCAP.CD,Turkmenistan,TKM,6388,6587,6967,7612,0,,5662371,5757667,5850902,5942094,6031187
GDP per capita (current US$),NY.GDP.PCAP.CD,Turks and Caicos Islands,TCA,28241,27545,29553,31351,23880,,36558,37116,37667,38194,38718
GDP per capita (current US$),NY.GDP.PCAP.CD,Tuvalu,TUV,3254,3574,3702,4056,4143,,11232,11365,11505,11655,11792
GDP per capita (current US$),NY.GDP.PCAP.CD,Uganda,UGA,733,747,770,794,817,,39649173,41166588,42729032,44269587,45741000
GDP per capita (current US$),NY.GDP.PCAP.CD,Ukraine,UKR,2188,2641,3097,3663,3727,,45004673,44831135,44622518,44386203,44134693
GDP per capita (current US$),NY.GDP.PCAP.CD,United Arab Emirates,ARE,38142,40645,43839,43103,0,,9360975,9487206,9630966,9770526,9890400
GDP per capita (current US$),NY.GDP.PCAP.CD,United Kingdom,GBR,41048,40305,42993,42354,40285,,65611593,66058859,66460344,66836327,67215293
GDP per capita (current US$),NY.GDP.PCAP.CD,United States of America,USA,58021,60110,63064,65280,63544,,323071755,325122128,326838199,328329953,329484123
GDP per capita (current US$),NY.GDP.PCAP.CD,Uruguay,URY,16716,18691,18704,17688,15438,,3424139,3436645,3449290,3461731,3473727
GDP per capita (current US$),NY.GDP.PCAP.CD,Uzbekistan,UZB,2568,1827,1529,1719,1686,,31847900,32388600,32956100,33580350,34232050
GDP per capita (current US$),NY.GDP.PCAP.CD,Vanuatu,VUT,2806,3082,3125,3102,2783,,278326,285499,292675,299882,307150
GDP per capita (current US$),NY.GDP.PCAP.CD,Venezuela,VEN,0,0,0,0,0,,29851249,29402480,28887117,28515829,28435943
GDP per capita (current US$),NY.GDP.PCAP.CD,Vietnam,VNM,2192,2366,2566,2715,2786,,93640435,94600643,95545959,96462108,97338583
GDP per capita (current US$),NY.GDP.PCAP.CD,Virgin Islands (U.S.),VIR,36023,36288,37233,0,0,,107516,107281,107001,106669,106290
GDP per capita (current US$),NY.GDP.PCAP.CD,West Bank and Gaza,PSE,3528,3620,3562,3657,3240,,4367088,4454805,4569087,4685306,4803269
GDP per capita (current US$),NY.GDP.PCAP.CD,Yemen,YEM,1139,961,824,0,0,,27168210,27834811,28498683,29161922,29825968
GDP per capita (current US$),NY.GDP.PCAP.CD,Zambia,ZMB,1281,1535,1516,1305,1051,,16363449,16853608,17351714,17861034,18383956
GDP per capita (current US$),NY.GDP.PCAP.CD,Zimbabwe,ZWE,1465,1336,1352,1156,1128,,14030338,14236599,14438812,14645473,14862927
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,
Last Updated: 09/15/2021,,,,,,,,,,,,,,
