Series Name,Country,Country Code,GDP_2016,GDP_2017,GDP_2018,GDP_2019,GDP_2020,,Series Name,Continent(Population),Country Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],,Series Name,Continent,Country Code,GDP per capita (2016),GDP per capita (2017),GDP per capita (2018),GDP per capita (2019),GDP per capita (2020),,,,Series Name,Country Name(Population),Country Code,Population_2016 ,Population_2017,Population_2018,Population_2019,Population_2020
GDP per capita (current US$),Benin,BEN,1087,1137,1241,1220,1291,,,,,,,,,,,,,,,,,,,,,,"Population, total",Benin,BEN,10872072.00,11175192.00,11485035.00,11801151.00,12123198.00
GDP per capita (current US$),Bermuda,BMU,106886,111821,113023,117098,0,,,,,,,,,,,,,,,,,,,,,,"Population, total",Bermuda,BMU,64554.00,63873.00,63919.00,63913.00,63903.00
GDP per capita (current US$),Bhutan,BTN,2931,3287,3243,3316,3122,,,,,,,,,,,,,,,,,,,,,,"Population, total",Bhutan,BTN,736706.00,745563.00,754396.00,763094.00,771612.00
GDP per capita (current US$),Bolivia,BOL,3077,3351,3549,3552,3143,,,,,,,,,,,,,,,,,,,,,,"Population, total",Bolivia,BOL,11031822.00,11192853.00,11353140.00,11513102.00,11673029.00
GDP per capita (current US$),Bosnia and Herz.,BIH,4995,5395,6072,6120,6032,,,,,,,,,,,,,,,,,,,,,,"Population, total",Bosnia and Herzegovina,BIH,3386263.00,3351534.00,3323929.00,3300998.00,3280815.00
GDP per capita (current US$),Botswana,BWA,7244,7893,8280,7971,6711,,,,,,,,,,,,,,,,,,,,,,"Population, total",Botswana,BWA,2159925.00,2205076.00,2254067.00,2303703.00,2351625.00
GDP per capita (current US$),Brazil,BRA,8710,9929,9151,8897,6797,,,,,,,,,,,,,,,,,,,,,,"Population, total",Brazil,BRA,206163056.00,207833825.00,209469320.00,211049519.00,212559409.00
GDP per capita (current US$),British Virgin Islands,VGB,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,"Population, total",British Virgin Islands,VGB,29355.00,29567.00,29795.00,30033.00,30237.00
GDP per capita (current US$),Brunei Darussalam,BRN,27158,28572,31628,31086,27466,,,,,,,,,,,,,,,,,,,,,,"Population, total",Brunei Darussalam,BRN,419791.00,424481.00,428960.00,433296.00,437483.00
GDP per capita (current US$),Bulgaria,BGR,7549,8334,9428,9828,9976,,,,,,,,,,,,,,,,,,,,,,"Population, total",Bulgaria,BGR,7127822.00,7075947.00,7025037.00,6975761.00,6927288.00
GDP per capita (current US$),Burkina Faso,BFA,688,735,813,787,831,,,,,,,,,,,,,,,,,,,,,,"Population, total",Burkina Faso,BFA,18646350.00,19193236.00,19751466.00,20321383.00,20903278.00
GDP per capita (current US$),Burundi,BDI,282,293,272,261,274,,,,,,,,,,,,,,,,,,,,,,"Population, total",Burundi,BDI,10488002.00,10827010.00,11175379.00,11530577.00,11890781.00
GDP per capita (current US$),Cabo Verde,CPV,3131,3293,3617,3604,3064,,,,,,,,,,,,,,,,,,,,,,"Population, total",Cabo Verde,CPV,531140.00,537499.00,543764.00,549936.00,555988.00
GDP per capita (current US$),Cambodia,KHM,1270,1385,1512,1643,1513,,,,,,,,,,,,,,,,,,,,,,"Population, total",Cambodia,KHM,15766290.00,16009413.00,16249795.00,16486542.00,16718971.00
