Country Name,Country Code,Series Name,Series Code,2016 [GDP GROWTH|2016],2017 [GDP GROWTH|2017],2018 [GDP GROWTH|2018],2019 [GDP GROWTH|2019],Growth,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Congo, Dem. Rep.",COD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2,4,6,4,1,78789130,81398765,84068092,86790568,89561404
"Congo, Rep.",COG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-11,-4,-5,0,-8,4980996,5110701,5244363,5380504,5518092
Costa Rica,CRI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4,4,2,2,-5,4899336,4949955,4999443,5047561,5094114
Cote d'Ivoire,CIV,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7,7,7,6,2,23822726,24437475,25069226,25716554,26378275
Croatia,HRV,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3,3,3,3,-8,4174349,4124531,4087843,4065253,4047200
Cuba,CUB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1,2,2,0,0,11335108,11339255,11338146,11333484,11326616
Curacao,CUW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-1,-2,-2,-3,0,159664,160175,159336,157441,155014
Cyprus,CYP,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6,5,5,3,-5,1170189,1179685,1189262,1198574,1207361
Czech Republic,CZE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3,5,3,2,-6,10566332,10594438,10629928,10671870,10698896
Denmark,DNK,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3,3,2,3,-3,5728010,5764980,5793636,5814422,5831404
Djibouti,DJI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7,5,8,8,0,929117,944100,958923,973557,988002
Dominica,DMA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3,-7,2,3,-17,71307,71460,71626,71808,71991
Dominican Republic,DOM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7,5,7,5,-7,10397738,10513111,10627147,10738957,10847904
Ecuador,ECU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-1,2,1,0,-8,16491116,16785356,17084359,17373657,17643060
"Egypt, Arab Rep.",EGY,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4,4,5,6,4,94447071,96442590,98423602,100388076,102334403
El Salvador,SLV,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3,2,2,3,-8,6356137,6388124,6420740,6453550,6486201
Equatorial Guinea,GNQ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-9,-6,-6,-6,-5,1215181,1262008,1308966,1355982,1402985
Eritrea,ERI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0,0,0,0,0,0,0,0,0,0
Estonia,EST,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3,5,4,5,-3,1315790,1317384,1321977,1326898,1331057
Eswatini,SWZ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1,2,2,2,-2,103603461,106399926,109224410,112078727,114963583
Ethiopia,ETH,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,9,10,7,8,6,48173,48326,48497,48677,48865
Faroe Islands,FRO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0,0,0,0,0,872406,877460,883490,889955,896444
Fiji,FJI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2,5,4,0,-19,5495303,5508214,5515525,5521606,5530719
Finland,FIN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3,3,1,1,-3,66724104,66918020,67101930,67248926,67391582
France,FRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1,2,2,2,-8,274576,276108,277673,279285,280904
French Polynesia,PYF,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0,0,0,0,0,2007882,2064812,2119275,2172578,2225728
Gabon,GAB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2,0,1,4,-1,2149134,2213900,2280092,2347696,2416664
"Gambia, The",GMB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2,5,7,6,0,3727505,3728004,3726549,3720161,3714000
Georgia,GEO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3,5,5,5,-6,82348669,82657002,82905782,83092962,83240525
Germany,DEU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2,3,1,1,-5,28481947,29121464,29767108,30417858,31072945
Ghana,GHA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3,8,6,7,0,33738,33723,33715,33706,33691
Gibraltar,GIB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0,0,0,0,0,10775971,10754679,10732882,10721582,10715549
Greece,GRC,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0,1,2,2,-8,56186,56172,56023,56225,56367
Greenland,GRL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5,0,3,0,0,110263,110874,111449,112002,112519
Grenada,GRD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4,4,4,2,-11,162948,164281,165770,167295,168783
