Country Name,Country Code,Series Name,Series Code,2016 [GDP GROWTH|2016],2017 [GDP GROWTH|2017],2018 [GDP GROWTH|2018],2019 [GDP GROWTH|2019],Growth,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Switzerland,CHE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2,2,3,1,-3,8373338,8451840,8514329,8575280,8636896
Syrian Arab Republic,SYR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0,0,0,0,0,17465567,17095669,16945062,17070132,17500657
Tajikistan,TJK,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7,7,8,7,4,8663575,8880270,9100847,9321023,9537642
Tanzania,TZA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7,7,5,6,2,53049231,54660345,56313444,58005461,59734213
Thailand,THA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3,4,4,2,-6,68971313,69209817,69428454,69625581,69799978
Timor-Leste,TLS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3,-4,-1,19,-9,1219289,1243260,1267975,1293120,1318442
Togo,TGO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6,4,5,5,2,7509952,7698476,7889095,8082359,8278737
Tonga,TON,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7,3,0,1,0,101143,102002,103199,104497,105697
Trinidad and Tobago,TTO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-6,-3,0,-1,-8,1377563,1384060,1389841,1394969,1399491
Tunisia,TUN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1,2,3,1,-9,11303942,11433438,11565203,11694721,11818618
Turkey,TUR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3,8,3,1,2,79827868,81116451,82340090,83429607,84339067
Turkmenistan,TKM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6,7,6,6,0,5662371,5757667,5850902,5942094,6031187
Turks and Caicos Islands,TCA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7,-2,6,5,-27,36558,37116,37667,38194,38718
Tuvalu,TUV,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3,4,2,10,4,11232,11365,11505,11655,11792
Uganda,UGA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5,4,6,7,3,39649173,41166588,42729032,44269587,45741000
Ukraine,UKR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2,2,3,3,-4,45004673,44831135,44622518,44386203,44134693
United Arab Emirates,ARE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3,2,1,2,0,9360975,9487206,9630966,9770526,9890400
United Kingdom,GBR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2,2,1,1,-10,65611593,66058859,66460344,66836327,67215293
United States,USA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2,2,3,2,-3,323071755,325122128,326838199,328329953,329484123
Uruguay,URY,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2,2,0,0,-6,3424139,3436645,3449290,3461731,3473727
Uzbekistan,UZB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6,4,5,6,2,31847900,32388600,32956100,33580350,34232050
Vanuatu,VUT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5,6,3,3,-9,278326,285499,292675,299882,307150
"Venezuela, RB",VEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0,0,0,0,0,29851249,29402480,28887117,28515829,28435943
Vietnam,VNM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6,7,7,7,3,93640435,94600643,95545959,96462108,97338583
Virgin Islands (U.S.),VIR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1,-1,2,0,0,107516,107281,107001,106669,106290
West Bank and Gaza,PSE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,9,1,1,1,-11,4367088,4454805,4569087,4685306,4803269
"Yemen, Rep.",YEM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-9,-5,1,0,0,27168210,27834811,28498683,29161922,29825968
Zambia,ZMB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4,4,4,1,-3,16363449,16853608,17351714,17861034,18383956
Zimbabwe,ZWE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1,5,3,-8,-8,14030338,14236599,14438812,14645473,14862927
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,
Last Updated: 09/15/2021,,,,,,,,,,,,,
